n_clusters,num_noise_points,use_umap,n_components,n_neighbors,quality_score,avg_same_cluster,avg_diff_cluster,n_same,n_diff,n_total,iteration,min_cluster_size,model,year,method,data_name,params
699,7458,TRUE,10,5,1.94363490619178,2.43673469387755,0.493099787685775,245,1884,4167,3,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_10_n_neighbors_5
699,7458,TRUE,10,5,1.94363490619178,2.43673469387755,0.493099787685775,245,1884,4167,4,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_10_n_neighbors_5
699,7458,TRUE,10,5,1.94363490619178,2.43673469387755,0.493099787685775,245,1884,4167,5,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_10_n_neighbors_5
86,10534,TRUE,10,5,1.67932736712079,1.94885361552028,0.269526248399488,567,1562,4167,1,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_10_n_neighbors_5
86,10534,TRUE,10,5,1.67932736712079,1.94885361552028,0.269526248399488,567,1562,4167,2,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_10_n_neighbors_5
86,10534,TRUE,10,5,1.67932736712079,1.94885361552028,0.269526248399488,567,1562,4167,3,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_10_n_neighbors_5
86,10534,TRUE,10,5,1.67932736712079,1.94885361552028,0.269526248399488,567,1562,4167,4,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_10_n_neighbors_5
86,10534,TRUE,10,5,1.67932736712079,1.94885361552028,0.269526248399488,567,1562,4167,5,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_10_n_neighbors_5
35,11682,TRUE,10,5,1.70894246646305,1.93606557377049,0.227123107307439,610,1519,4167,1,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_10_n_neighbors_5
35,11682,TRUE,10,5,1.70894246646305,1.93606557377049,0.227123107307439,610,1519,4167,2,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_10_n_neighbors_5
